sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2021-11-13T05:58:32.783738+00:00;P1;11
145;DHT22;3528;-0.286;36.067;2021-11-13T05:58:32.787908+00:00;humidity;73
145;DHT22;3528;-0.286;36.067;2021-11-13T05:58:32.787908+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2021-11-13T06:01:12.967818+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T06:01:12.967818+00:00;P1;12
145;DHT22;3528;-0.286;36.067;2021-11-13T06:01:12.973112+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2021-11-13T06:01:12.973112+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2021-11-13T06:03:53.342142+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2021-11-13T06:03:53.342142+00:00;P1;16
145;DHT22;3528;-0.286;36.067;2021-11-13T06:03:53.345030+00:00;humidity;71
145;DHT22;3528;-0.286;36.067;2021-11-13T06:03:53.345030+00:00;temperature;20
145;DHT22;3528;-0.286;36.067;2021-11-13T06:06:33.660962+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2021-11-13T06:06:33.660962+00:00;temperature;20
144;SDS011;3528;-0.286;36.067;2021-11-13T06:06:33.664974+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:06:33.664974+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2021-11-13T06:09:13.257040+00:00;humidity;71
145;DHT22;3528;-0.286;36.067;2021-11-13T06:09:13.257040+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2021-11-13T06:09:13.376985+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:09:13.376985+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2021-11-13T06:11:53.652989+00:00;humidity;71
145;DHT22;3528;-0.286;36.067;2021-11-13T06:11:53.652989+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2021-11-13T06:11:53.864202+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2021-11-13T06:11:53.864202+00:00;P1;7
144;SDS011;3528;-0.286;36.067;2021-11-13T06:14:34.184886+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T06:14:34.184886+00:00;P1;25
145;DHT22;3528;-0.286;36.067;2021-11-13T06:14:34.188897+00:00;humidity;70
145;DHT22;3528;-0.286;36.067;2021-11-13T06:14:34.188897+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2021-11-13T06:17:13.728920+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:17:13.728920+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2021-11-13T06:17:13.864929+00:00;humidity;68
145;DHT22;3528;-0.286;36.067;2021-11-13T06:17:13.864929+00:00;temperature;21
145;DHT22;3528;-0.286;36.067;2021-11-13T06:19:53.956814+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2021-11-13T06:19:53.956814+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2021-11-13T06:19:53.960861+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2021-11-13T06:19:53.960861+00:00;P1;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:22:34.429349+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2021-11-13T06:22:34.429349+00:00;P1;23
145;DHT22;3528;-0.286;36.067;2021-11-13T06:22:34.429783+00:00;humidity;68
145;DHT22;3528;-0.286;36.067;2021-11-13T06:22:34.429783+00:00;temperature;21
145;DHT22;3528;-0.286;36.067;2021-11-13T06:25:14.691126+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2021-11-13T06:25:14.691126+00:00;temperature;21
144;SDS011;3528;-0.286;36.067;2021-11-13T06:25:14.697826+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2021-11-13T06:25:14.697826+00:00;P1;23
144;SDS011;3528;-0.286;36.067;2021-11-13T06:27:55.180913+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:27:55.180913+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2021-11-13T06:27:55.292814+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2021-11-13T06:27:55.292814+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2021-11-13T06:30:34.711459+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2021-11-13T06:30:34.711459+00:00;P1;16
145;DHT22;3528;-0.286;36.067;2021-11-13T06:30:34.712795+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2021-11-13T06:30:34.712795+00:00;temperature;22
145;DHT22;3528;-0.286;36.067;2021-11-13T06:33:14.984230+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2021-11-13T06:33:14.984230+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2021-11-13T06:33:14.988186+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T06:33:14.988186+00:00;P1;46
144;SDS011;3528;-0.286;36.067;2021-11-13T06:35:54.784820+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2021-11-13T06:35:54.784820+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2021-11-13T06:35:54.788778+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2021-11-13T06:35:54.788778+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2021-11-13T06:38:34.960848+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2021-11-13T06:38:34.960848+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2021-11-13T06:38:35.084846+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2021-11-13T06:38:35.084846+00:00;temperature;22
144;SDS011;3528;-0.286;36.067;2021-11-13T06:41:15.374061+00:00;P2;5
